TITLE = "Equilibrium TP Sweep: AIR5"
VARIABLES = "T [K]", "P [Pa]", "Y(N2)", "Y(O2)", "Y(NO)", "Y(N)", "Y(O)"
ZONE T="TP_Sweep", I=2000, F=BLOCK
7.57157343e-01 7.57157442e-01 7.57157542e-01 7.57157641e-01 7.57157739e-01 
7.57157837e-01 7.57157934e-01 7.57158031e-01 7.57158128e-01 7.57158224e-01 
7.57158320e-01 7.57158415e-01 7.57158510e-01 7.57158604e-01 7.57158698e-01 
7.57158791e-01 7.57158884e-01 7.57158977e-01 7.57159069e-01 7.57159161e-01 
7.57159252e-01 7.57159343e-01 7.57159433e-01 7.57159523e-01 7.57159613e-01 
7.57159702e-01 7.57159791e-01 7.57159880e-01 7.57159968e-01 7.57160055e-01 
7.57160142e-01 7.57160229e-01 7.57160316e-01 7.57160402e-01 7.57160487e-01 
7.57160573e-01 7.57160658e-01 7.57160742e-01 7.57160826e-01 7.57160910e-01 
7.57160993e-01 7.57161076e-01 7.57161159e-01 7.57161241e-01 7.57161323e-01 
7.57161404e-01 7.57161485e-01 7.57161566e-01 7.57161647e-01 7.57161727e-01 
7.57161806e-01 7.57161886e-01 7.57161965e-01 7.57162043e-01 7.57162121e-01 
7.57162199e-01 7.57162277e-01 7.57162354e-01 7.57162431e-01 7.57162508e-01 
7.57162584e-01 7.57162660e-01 7.57162735e-01 7.57162810e-01 7.57162885e-01 
7.57162960e-01 7.57163034e-01 7.57163108e-01 7.57163182e-01 7.57163255e-01 
7.57163328e-01 7.57163400e-01 7.57163473e-01 7.57163545e-01 7.57163616e-01 
7.57163688e-01 7.57163759e-01 7.57163829e-01 7.57163900e-01 7.57163970e-01 
7.57164040e-01 7.57164109e-01 7.57164178e-01 7.57164247e-01 7.57164316e-01 
7.57164384e-01 7.57164452e-01 7.57164520e-01 7.57164587e-01 7.57164655e-01 
7.57164721e-01 7.57164788e-01 7.57164854e-01 7.57164920e-01 7.57164986e-01 
7.57165051e-01 7.57165117e-01 7.57165182e-01 7.57165246e-01 7.57165310e-01 
7.57165375e-01 7.57165438e-01 7.57165502e-01 7.57165565e-01 7.57165628e-01 
7.57165691e-01 7.57165753e-01 7.57165815e-01 7.57165877e-01 7.57165939e-01 
7.57166000e-01 7.57166062e-01 7.57166122e-01 7.57166183e-01 7.57166244e-01 
7.57166304e-01 7.57166364e-01 7.57166423e-01 7.57166483e-01 7.57166542e-01 
7.57166601e-01 7.57166659e-01 7.57166718e-01 7.57166776e-01 7.57166834e-01 
7.57166891e-01 7.57166949e-01 7.57167006e-01 7.57167063e-01 7.57167120e-01 
7.57167176e-01 7.57167232e-01 7.57167288e-01 7.57167344e-01 7.57167400e-01 
7.57167455e-01 7.57167510e-01 7.57167565e-01 7.57167620e-01 7.57167674e-01 
7.57167728e-01 7.57167782e-01 7.57167836e-01 7.57167890e-01 7.57167943e-01 
7.57167996e-01 7.57168049e-01 7.57168102e-01 7.57168154e-01 7.57168207e-01 
7.57168259e-01 7.57168311e-01 7.57168362e-01 7.57168414e-01 7.57168465e-01 
7.57168516e-01 7.57168567e-01 7.57168617e-01 7.57168668e-01 7.57168718e-01 
7.57168768e-01 7.57168818e-01 7.57168867e-01 7.57168917e-01 7.57168966e-01 
7.57169015e-01 7.57169064e-01 7.57169112e-01 7.57169161e-01 7.57169209e-01 
7.57169257e-01 7.57169305e-01 7.57169352e-01 7.57169400e-01 7.57169447e-01 
7.57169494e-01 7.57169541e-01 7.57169588e-01 7.57169634e-01 7.57169681e-01 
7.57169727e-01 7.57169773e-01 7.57169819e-01 7.57169864e-01 7.57169910e-01 
7.57169955e-01 7.57170000e-01 7.57170045e-01 7.57170090e-01 7.57170135e-01 
7.57170179e-01 7.57170223e-01 7.57170267e-01 7.57170311e-01 7.57170355e-01 
1.90879471e-09 1.95570242e-09 2.00423780e-09 2.05446128e-09 2.10644260e-09 
5.44487337e-09 5.56165738e-09 5.68209326e-09 5.80631817e-09 5.93447662e-09 
6.06671955e-09 6.20320505e-09 6.34409876e-09 6.48957420e-09 6.63981326e-09 
6.79500660e-09 6.95535417e-09 7.12106566e-09 7.29236109e-09 7.46947137e-09 
7.65263889e-09 7.84211820e-09 1.87415896e-08 1.91191398e-08 1.95080508e-08 
1.99087497e-08 2.03216877e-08 2.07473349e-08 2.11861838e-08 2.16387499e-08 
4.94568941e-08 5.02629070e-08 5.10902281e-08 5.19395788e-08 5.28117255e-08 
5.37074618e-08 5.46276152e-08 5.55730494e-08 5.65446657e-08 5.75434050e-08 
5.85702498e-08 5.96262266e-08 6.07124080e-08 6.18299149e-08 6.29799195e-08 
6.41636478e-08 6.53823824e-08 6.66374658e-08 6.79303030e-08 6.92623650e-08 
7.06351940e-08 7.20504070e-08 7.35096983e-08 7.50148450e-08 7.65677115e-08 
7.81702545e-08 7.98245286e-08 8.15326919e-08 8.32970121e-08 8.51198727e-08 
8.70037807e-08 8.89513732e-08 9.09654259e-08 9.30488613e-08 5.05924085e-09 
9.60459159e-09 1.01444883e-08 1.07215763e-08 6.50589675e-09 1.19995939e-08 
7.41077208e-09 7.91859289e-09 8.46753076e-09 5.41965263e-09 5.85524579e-09 
6.33183131e-09 6.85380265e-09 4.59926145e-09 5.03347238e-09 5.51490509e-09 
6.04934543e-09 6.64336557e-09 4.73811292e-09 8.04109039e-09 5.86138084e-09 
6.53278604e-09 7.29144075e-09 8.14998511e-09 9.12307522e-09 1.02277342e-08 
1.14837691e-08 1.29142671e-08 1.45461882e-08 1.64110723e-08 1.85458880e-08 
2.09940497e-08 2.38066419e-08 2.70438949e-08 3.07769672e-08 3.50901034e-08 
4.00832536e-08 4.58752581e-08 5.26077314e-08 6.04498079e-08 7.08373465e-08 
9.57247898e-08 9.92786408e-08 1.24909630e-07 1.43121246e-07 1.64331550e-07 
1.89494552e-07 2.21470853e-07 2.58280469e-07 3.00567023e-07 3.49047847e-07 
4.04520968e-07 4.67872604e-07 5.40085195e-07 6.22245994e-07 7.15556235e-07 
8.21340914e-07 9.41059201e-07 1.07631550e-06 1.22887121e-06 1.40065715e-06 
1.59378675e-06 1.81056998e-06 2.05352806e-06 2.32540891e-06 2.62920351e-06 
2.96816306e-06 3.34581692e-06 3.76599158e-06 4.23283039e-06 4.75081430e-06 
5.32478344e-06 5.95995977e-06 6.66197056e-06 7.43687294e-06 8.29117940e-06 
9.23188430e-06 1.02664914e-05 1.14030423e-05 1.26501461e-05 1.40170101e-05 
1.55134710e-05 1.71500280e-05 1.89378763e-05 2.08889419e-05 2.30159172e-05 
2.53322979e-05 2.78524208e-05 3.05915026e-05 3.35656798e-05 3.67920495e-05 
4.02887109e-05 4.40748086e-05 4.81705759e-05 5.25973796e-05 5.73777654e-05 
6.25355045e-05 6.80956409e-05 7.40845392e-05 8.05299338e-05 8.74609788e-05 
9.49082978e-05 1.02904036e-04 1.11481910e-04 1.20677264e-04 1.30527118e-04 
1.41070226e-04 1.52347127e-04 1.64400200e-04 1.77273721e-04 1.91013915e-04 
2.05669016e-04 2.21289317e-04 2.37927232e-04 2.55637350e-04 2.74476489e-04 
2.94503757e-04 3.15780602e-04 3.38370876e-04 3.62340885e-04 3.87759447e-04 
4.14697947e-04 4.43230393e-04 4.73433471e-04 5.05386597e-04 5.39171971e-04 
5.74874633e-04 6.12582511e-04 6.52386474e-04 6.94380382e-04 7.38661136e-04 
7.85328726e-04 8.34486276e-04 8.86240093e-04 9.40699705e-04 9.97977913e-04 
1.05819082e-03 1.12145789e-03 1.18790196e-03 1.25764929e-03 1.33082961e-03 
1.40757611e-03 1.48802552e-03 1.57231809e-03 1.66059767e-03 1.75301166e-03 
1.84971110e-03 1.95085064e-03 2.05658855e-03 2.16708679e-03 2.28251092e-03 
2.40303021e-03 2.52881755e-03 2.66004951e-03 2.79690627e-03 2.93957168e-03 
3.08823319e-03 3.24308185e-03 3.40431230e-03 3.57212271e-03 3.74671477e-03 
3.92829362e-03 4.11706788e-03 4.31324950e-03 4.51705379e-03 4.72869931e-03 
4.94840785e-03 5.17640430e-03 5.41291663e-03 5.65817576e-03 5.91241552e-03 
